FID,OID,lat,lon
0,0,32.375,102.375
1,0,32.625,102.375
2,0,32.625,102.625
3,0,32.875,102.125
4,0,32.875,102.375
5,0,32.875,102.625
6,0,32.875,102.875
7,0,32.875,103.125
8,0,33.125,99.625
9,0,33.125,101.625
10,0,33.125,101.875
11,0,33.125,102.125
12,0,33.125,102.375
13,0,33.125,102.625
14,0,33.125,102.875
15,0,33.125,103.125
16,0,33.125,103.375
17,0,33.375,98.875
18,0,33.375,99.125
19,0,33.375,99.375
20,0,33.375,99.625
21,0,33.375,99.875
22,0,33.375,100.125
23,0,33.375,100.875
24,0,33.375,101.125
25,0,33.375,101.375
26,0,33.375,101.625
27,0,33.375,101.875
28,0,33.375,102.125
29,0,33.375,102.375
30,0,33.375,102.625
31,0,33.375,102.875
32,0,33.375,103.125
33,0,33.625,98.625
34,0,33.625,98.875
35,0,33.625,99.125
36,0,33.625,99.375
37,0,33.625,99.625
38,0,33.625,99.875
39,0,33.625,100.125
40,0,33.625,100.625
41,0,33.625,100.875
42,0,33.625,101.125
43,0,33.625,101.375
44,0,33.625,101.625
45,0,33.625,101.875
46,0,33.625,102.125
47,0,33.625,102.375
48,0,33.625,102.625
49,0,33.625,102.875
50,0,33.625,103.125
51,0,33.875,98.375
52,0,33.875,98.625
53,0,33.875,98.875
54,0,33.875,99.125
55,0,33.875,99.375
56,0,33.875,99.625
57,0,33.875,99.875
58,0,33.875,100.125
59,0,33.875,100.375
60,0,33.875,100.625
61,0,33.875,100.875
62,0,33.875,101.125
63,0,33.875,101.375
64,0,33.875,101.625
65,0,33.875,101.875
66,0,33.875,102.125
67,0,33.875,102.375
68,0,33.875,102.625
69,0,33.875,102.875
70,0,33.875,107.875
71,0,33.875,108.125
72,0,33.875,108.375
73,0,33.875,108.625
74,0,33.875,108.875
75,0,33.875,109.375
76,0,33.875,110.625
77,0,33.875,111.375
78,0,33.875,111.625
79,0,33.875,111.875
80,0,34.125,97.125
81,0,34.125,97.375
82,0,34.125,97.875
83,0,34.125,98.125
84,0,34.125,98.375
85,0,34.125,98.625
86,0,34.125,98.875
87,0,34.125,99.125
88,0,34.125,99.375
89,0,34.125,99.625
90,0,34.125,99.875
91,0,34.125,100.125
92,0,34.125,100.375
93,0,34.125,100.625
94,0,34.125,100.875
95,0,34.125,101.125
96,0,34.125,101.375
97,0,34.125,101.625
98,0,34.125,101.875
99,0,34.125,102.125
100,0,34.125,102.375
101,0,34.125,107.625
102,0,34.125,107.875
103,0,34.125,108.125
104,0,34.125,108.375
105,0,34.125,108.625
106,0,34.125,108.875
107,0,34.125,109.125
108,0,34.125,109.375
109,0,34.125,109.625
110,0,34.125,110.125
111,0,34.125,110.375
112,0,34.125,110.625
113,0,34.125,110.875
114,0,34.125,111.125
115,0,34.125,111.375
116,0,34.125,111.625
117,0,34.125,111.875
118,0,34.125,112.125
119,0,34.375,96.625
120,0,34.375,96.875
121,0,34.375,97.125
122,0,34.375,97.375
123,0,34.375,97.625
124,0,34.375,97.875
125,0,34.375,98.125
126,0,34.375,98.375
127,0,34.375,98.625
128,0,34.375,98.875
129,0,34.375,99.125
130,0,34.375,99.375
131,0,34.375,99.625
132,0,34.375,99.875
133,0,34.375,100.125
134,0,34.375,100.375
135,0,34.375,100.625
136,0,34.375,100.875
137,0,34.375,101.125
138,0,34.375,101.375
139,0,34.375,101.625
140,0,34.375,101.875
141,0,34.375,102.125
142,0,34.375,102.375
143,0,34.375,102.625
144,0,34.375,102.875
145,0,34.375,103.125
146,0,34.375,103.375
147,0,34.375,103.625
148,0,34.375,103.875
149,0,34.375,104.125
150,0,34.375,104.375
151,0,34.375,104.625
152,0,34.375,105.875
153,0,34.375,106.625
154,0,34.375,106.875
155,0,34.375,107.125
156,0,34.375,107.375
157,0,34.375,107.625
158,0,34.375,107.875
159,0,34.375,108.125
160,0,34.375,108.375
161,0,34.375,108.625
162,0,34.375,108.875
163,0,34.375,109.125
164,0,34.375,109.375
165,0,34.375,109.625
166,0,34.375,109.875
167,0,34.375,110.125
168,0,34.375,110.375
169,0,34.375,110.625
170,0,34.375,110.875
171,0,34.375,111.125
172,0,34.375,111.375
173,0,34.375,111.625
174,0,34.375,111.875
175,0,34.375,112.125
176,0,34.375,112.375
177,0,34.375,112.625
178,0,34.625,96.125
179,0,34.625,96.375
180,0,34.625,96.625
181,0,34.625,96.875
182,0,34.625,97.125
183,0,34.625,97.375
184,0,34.625,97.625
185,0,34.625,97.875
186,0,34.625,98.125
187,0,34.625,98.375
188,0,34.625,98.625
189,0,34.625,98.875
190,0,34.625,99.125
191,0,34.625,99.375
192,0,34.625,99.625
193,0,34.625,99.875
194,0,34.625,100.125
195,0,34.625,100.375
196,0,34.625,100.625
197,0,34.625,100.875
198,0,34.625,101.125
199,0,34.625,101.375
200,0,34.625,101.625
201,0,34.625,101.875
202,0,34.625,102.125
203,0,34.625,102.375
204,0,34.625,102.625
205,0,34.625,102.875
206,0,34.625,103.125
207,0,34.625,103.375
208,0,34.625,103.625
209,0,34.625,103.875
210,0,34.625,104.125
211,0,34.625,104.375
212,0,34.625,104.625
213,0,34.625,104.875
214,0,34.625,105.125
215,0,34.625,105.375
216,0,34.625,105.625
217,0,34.625,105.875
218,0,34.625,106.125
219,0,34.625,106.375
220,0,34.625,106.625
221,0,34.625,106.875
222,0,34.625,107.125
223,0,34.625,107.375
224,0,34.625,107.625
225,0,34.625,107.875
226,0,34.625,108.125
227,0,34.625,108.375
228,0,34.625,108.625
229,0,34.625,108.875
230,0,34.625,109.125
231,0,34.625,109.375
232,0,34.625,109.625
233,0,34.625,109.875
234,0,34.625,110.125
235,0,34.625,110.375
236,0,34.625,110.625
237,0,34.625,110.875
238,0,34.625,111.125
239,0,34.625,111.375
240,0,34.625,111.625
241,0,34.625,111.875
242,0,34.625,112.125
243,0,34.625,112.375
244,0,34.625,112.625
245,0,34.625,112.875
246,0,34.625,113.125
247,0,34.875,96.125
248,0,34.875,96.375
249,0,34.875,96.625
250,0,34.875,96.875
251,0,34.875,97.125
252,0,34.875,97.375
253,0,34.875,97.625
254,0,34.875,97.875
255,0,34.875,98.125
256,0,34.875,98.375
257,0,34.875,98.625
258,0,34.875,99.125
259,0,34.875,99.375
260,0,34.875,99.625
261,0,34.875,99.875
262,0,34.875,100.125
263,0,34.875,100.375
264,0,34.875,100.625
265,0,34.875,100.875
266,0,34.875,101.125
267,0,34.875,101.375
268,0,34.875,101.625
269,0,34.875,101.875
270,0,34.875,102.125
271,0,34.875,102.375
272,0,34.875,102.625
273,0,34.875,102.875
274,0,34.875,103.125
275,0,34.875,103.375
276,0,34.875,103.625
277,0,34.875,103.875
278,0,34.875,104.125
279,0,34.875,104.375
280,0,34.875,104.625
281,0,34.875,104.875
282,0,34.875,105.125
283,0,34.875,105.375
284,0,34.875,105.625
285,0,34.875,105.875
286,0,34.875,106.125
287,0,34.875,106.375
288,0,34.875,106.625
289,0,34.875,106.875
